asian_number,rating,review
,1.0 out of 5 stars,"The language used in this book is unnecessarily complex, sometimes it feels like authors have just copy-pasted sentences from some reference book of statistics. e.g. ""Reinforcement learning is an area of machine learning inspired by behaviorist psychology, concerned with how software agents ought to take action in an environment so as to maximize some notion of cumulative reward"". In professional life we have no time to interpret or understand words like 'behaviorist', 'software agent' and 'notion of cumulative reward'. This is not a layman's language. Students might mug such sentences and write as is in their university exam answer sheets and secure marks; but such language is not useful for professionals definitely."
,1.0 out of 5 stars,The book is a collection of techniques without any practical applications of ML
,5.0 out of 5 stars,Excellent and easy to follow book for machine learning. Recommended to people getting started with machine learning.
,1.0 out of 5 stars,"I'm yet to read this book. But paper quality is very poor and letter printed are very light. Seems not from original book publisher, duplicated or copied on cheap paper & selling it as original."
,4.0 out of 5 stars,"should be very helpful for students ..yes, the print is a bit light ,but contents are good ."
,1.0 out of 5 stars,Not a good book. Major concepts missing
,4.0 out of 5 stars,Nice book
,2.0 out of 5 stars,Very basic book.
,5.0 out of 5 stars,I have never seen such a simple book with such a lucid language. Author has taken so much efforts to make it simple and we really appreciate it. Undoubtedly book will sell like a wonder and happy to see quality content from good author and world famous publisher.
,5.0 out of 5 stars,I am new to this area of ML and found this book simple and easy to understand. The examples are good and understandable
,5.0 out of 5 stars,The fastest way to learn machine learning. Get to the point very fast. I would highly recommend this book to any one who is low on patience to learn machine learning
,5.0 out of 5 stars,The cookbook approach is quite good for getting started with something
,2.0 out of 5 stars,Its a good book if you have just started in machine learning.  But it won't be of any help you want to get any indepth knowledge.
,5.0 out of 5 stars,It's an excellent book .have added a sample of the contents in the book.really usefull for a beginner in machine learning.a must have book.
,4.0 out of 5 stars,Good learning material
,5.0 out of 5 stars,This is an excellent book for beginners … and a good guide for practitioners
,5.0 out of 5 stars,"If there is only one machine learning book that you can buy, buy this one."
,5.0 out of 5 stars,I received book today with good condition. I am very much excited to start this book. I was looking for cook book on machine learning with python from some time. Thanks Happy Learning...
,5.0 out of 5 stars,This book is just amazing. It starts by defining a problem that anyone working with ML would face and then tells you the solution with code along with the explanation. I bought the Kindle version so I can have it with me all the time.
,4.0 out of 5 stars,Excellent book for machine learning. If you have basic knowledge in python then this book is going to help you a lot...short crisp and simple explanation.. just go for it
,1.0 out of 5 stars,This book gave me a headache. The author just assumes you know everything already from makefile to docker to jenkins.  This is no introduction.
,5.0 out of 5 stars,"Great read! This eaxactly what I was looking for. If you need a get started guide to could AI, look no further.Although most of the information you can research yourself online (as some commenters have noted) getting this book will save you DAYS if not WEEKS of clicking arround and googling how to do something and messing up. For that alone is worth 10x the price for me.The explanations are clear and very easy to follow, at least for me. I have not stopped referring back to the book since I got it. It is a lot easier than going down the google rabbit hole, for what I need to do at work. You do need some experience coding and messing around with AI to get some of the concepts.Although the information may seem scattered, it is not actually, there are no transitions between explaining different platforms. That’s all! . Which is great! I don’t want to be reading fluff, just tell me what I need to know to get going.Overall I’m happy to have this resource."
,5.0 out of 5 stars,"Great introduction to AWS and GCP.  A lot of explanations on all the tools that are available to work with both.  Plus some good python code to use.  Explains well how powerful Jupyter notebook is with some good examples.  Ties AI, ML and cloud applications all together."
,5.0 out of 5 stars,Enjoyed it from cover to cover. Great book for anyone looking for trends and pragmatic approaches to doing data science in the cloud. Will use as a reference as I build my toolkit!
,5.0 out of 5 stars,"Pragmatic AI hits at the intersection of cloud, Python programming and AI.  This book will not help you earn your PHD in AI, but it will show you what it takes to get an AI workload into production using cutting edge cloud technology."
,1.0 out of 5 stars,Read the first 35% of the book and nothing much you can take away from as the information is easily available freely on internet.  The author is more interested to tell you to use Amazon and Google platform for your AI or machine learning and merely listing their products URL.You could have easily visited Google and AWS website and read the user guides there without spending a dime
,1.0 out of 5 stars,"This book is available online for free as pdf on Microsoft website but I wanted print copy. Book content is no doubt great but there are many issues with the printing which make me doubt it is a genuine book.Pros:1. Hardbound was available for 1500 during sale.2. Page quality is good, images and headings are colored.Cons:1. Table of content was misprinted2. Few pages have ink smudges while few are light3. Sometimes 2 consecutive pages have different shade.4. Way too many pages were joint showing poor publishing.Advice: Beware of new sellers who don't have much ratings and check full book as soon as you recieve it."
,1.0 out of 5 stars,"Unstructured and chaotic information, useless diagrams, totally unreadable.Pretty weak book dont match the cover name."
,5.0 out of 5 stars,"Silky soft acid-free color papers. It feels good to read on this paper. Color print, if you were wondering btw!!"
,1.0 out of 5 stars,It's the same book from before. Nothing new about the 2020 publishing date. Inside the publishing date is 2006.UPDATE: After opening the book I found extremely bad formatting. Hence I returned it.
,4.0 out of 5 stars,"PRML is a modern classic in machine learning. It's legally available online for free but I bought a hard copy of the book after I noticed that there's a heavy discount. It turns out that it might be available at a discount because the publisher is trying to get rid of copies that have some printing mistakes: some of the pages in the beginning are out of order and the colour printing is not great. But the book is still readable. The first copy I ordered had several torn pages as well but the seller replaced the book. Even then, the replaced copy had several pages which were printed out of sequence."
,5.0 out of 5 stars,The book is fantastic though published  in 2006. No book on machine learning even today is so elaborate and in-depth. The author is really made a great effort to unleased the underlying concept in the all the topics covered in the book.It is a must have book.
,1.0 out of 5 stars,I got black and white print pages. Book quality is worse. No color pages. Text are not aligned.
,2.0 out of 5 stars,"This isn't from original publishers. Some pages were mixed up, some pages were blurred. Some were cut unevenly. This is a pirated print. There is no sticker from publishers. Please do not buy."
,4.0 out of 5 stars,Its locally printed copy. Index page is missplaced. Rest seems to be good.
,5.0 out of 5 stars,"very good paper quality and printing, colored , silky soft pages...got from all india book house for 4200"
,5.0 out of 5 stars,Great book....... Those who really want to learn and work in the field of Machine Learning should have this book.
,1.0 out of 5 stars,"The book is awesome but, it's freely available online.The only reason for buying this is to have a good paper printed version.However,The paper used for making this is of recycle quality and thus, I strongly believe printing it would be a far cost as well as quality efficient thing to do!Regards,Rishabh Jain"
,5.0 out of 5 stars,"one of the best book for ML. I am from IIT Bombay and during my course of ML at IITB, my professor always used to refer this book."
,2.0 out of 5 stars,"Skips on a lot of important topics. The book tries to cover a lot of different areas and gives a rather jumpy feeling. I took it to my college and my friends had the same opinion as I. Returned it. If you are a newbie in the field of ML and looking for something that approaches the subject in a more step-by-step approach, this book is certainly not for you. Expert users who may wish to read only a few chapters may find it useful."
,4.0 out of 5 stars,"PDF is free online but hard copies are always welcome. Good book to get started on ML as well. A little too much if you don't have a good math or CS background but otherwise for people working already in the industry, this can be used as a go to book to clear any doubts."
,5.0 out of 5 stars,"The book covers a wide range of topics  It is a very good book for an overall idea of the subject and for an introductory course. The advantage is that each chapter has a section on ""Further Reading"" which has lists of more advanced material on each topic for those who want to learn the subject thoroughly and mathematically. Overall a very good book"
,3.0 out of 5 stars,Introductory book. One can get to know the basic ideas. However for serious work one has to refer to the machine learning literature.
,2.0 out of 5 stars,"If you are starting with Machine Learning, this must not be your first ML book. The book tries to capture the essence of ML, algorithmic thinking and core of ML models. But it will not get you started. It is more of academic taste."
,3.0 out of 5 stars,"Honestly I was disappointed with the quality of the paper used for printing. Keeping that aside the printing also is uneven. Some pages are printed and sliced unevenly. I have attached few images. Started to use this book. If any pages are missing, will update the review.But please try to print it properly or else atleast reduce the price of the book"
,5.0 out of 5 stars,"This was my first machine learning text book after Andrew Ng course .the book provides good introductory machine learning algorithm along with proof like gradient descent, maximum likelihood principle which I found very useful along with pseudo code .definitely recommended to kick-start your journey as it is short book with less math and more intuition behind the algorithm which is very useful to get a foundation for further study."
,5.0 out of 5 stars,Cover the theoritical background of ML. Language is easy to comprehend. Good book and must have for ML
,1.0 out of 5 stars,"It is just a collection of notes and codes that we keep in some random text file, just to resuse it in future. It doesn't give you in depth knowledge of whats and hows of things written in it. Or just maybe I expected something else from this and it turned out to be a simple book of codes.Anyways, it would have been easier just to create a github repo with proper readme files and all, instead of writing a whole book for it."
,5.0 out of 5 stars,"I am a Data Scientist/ AI Engineer working for the last 3 years in the industry. This is my honest review -As the book name suggests this is the best book that you could get on practical machine learning and data science. The author has written the book with great dedication and the explanations at each section is amazing.I really liked the flow of the book, from basic concepts to covering images and text problems, advanced concepts like Entity embeddings and what not!The codes are written perfectly and in such a way that it develops a great habit of writing good quality code for any data scientist or enthusiast. The author has made sure that the code is reusable and can be taken into production.P.S. - Don’t think too much, just go ahead and buy it!!! It’s Amazing!"
,5.0 out of 5 stars,"An oustanding book. What he claimed , it has been produced in the same fashion. It is a very very useful book for the machine learning aspirants and practicener both.Worth purchasing. Contents of the book are far beyond its cost.I recommend it will be worth purchasing . I assign five stars as very useful technics alogwith code etc have been provided so lucidly.The author seems to have taken a lot of efforts."
,3.0 out of 5 stars,This book can be a good reference material if you are starting to become a serious ML practitioner.But the book shies away from getting too deep into more hands on problems faced in ML projects. Or maybe I expect too much from the author.
,5.0 out of 5 stars,The book is not compatible with a kindle paperwhite. I purchased the kindle edition on 8th July.Edit: Had doubts about the compatibility and got them cleared from the author himself. Don't want this review to hurt the author's reputation. I haven't read the book yet but I am sure it will be a brilliant read.
,5.0 out of 5 stars,This is an hands on book and not a theory book as already mentioned by author.The points that make this book different1. Using comprehensive code with good explanation and all necessary comments2. Not using standard dataset like iris cars etc and utilising bigger Datasets from kaggle3. Touching almost everything that you encounter while building a model. Also adding on touching distributing your model using flask and docker4. Covers NLP too including transformers which many of starting ML books choose to ignore.For me it is a good reference guide if you want to brush up again and again.
,4.0 out of 5 stars,"After reading couple of chapters and have a look at the rest I feel that if someone wants to know how you can solve a machine learning problem with topics like feature selection, feature engineering, hyperparameter optimization it's always better to code it and learn and see what's happening, and that's exactly what the author did. You will also get an idea about NLP models like BERT and how you can use docker, flask for deploying your ML model. What I miss in this book is, if it has a couple of chapters to show how to solve a particular problem statement/dataset by combining the topics he covered in the book, and from creating a baseline model to a pretty complex one just to show the end-to-end approach he usually takes to solve a machine learning problem. Just to ideate his thoughts and strategy he usually follows to solve when he gets an ML problem."
,4.0 out of 5 stars,"This book is freely downloadable from the authors website. I still ordered this book from 'saraswati pustakalaya'  at Rs 1700, because I wanted a hard copy. This book is great in terms of highlighting the mathematical prerequisites for Machine Learning. But to assume that this is a sufficient and all encompassing 'go to' book would be naive. The prerequisites of Multivariate Calculus, Probability, Linear Algebra and Statistics (Inferential) are vast bodies of knowledge themselves and all of them cannot just be compressed into this single book. This book identifies the specific topics from the prerequisites that are extensively used in building the foundation for the Machine-Learning theory. This is where it helps. I am not a formal mathematician, but I've studied 'Mathematical Statistics, so have some idea of the concepts.  Every ML enthusiast should have this book (free pdf or hard copy), but should have extra books on the 4 prerequisites. Once you are comfortable with the prerequisites, then this book would be helpful. If you are not comfortable with the prequisites then you should avoid this book. The book can be terse, because it is jamming 3 branches of Mathematics and Staistics into a single book. Hope this feedback helps others who are interested. PS - The hard copy that I got was published in India !! I had thought that it was a US print, but was pissed at seeing the 'Sale for only in India' logo. However, the page quality and print quality is excellent. I was amazed as I know Indian prints are pathetic. And the pages are colored, for an Indian print this is not common."
,5.0 out of 5 stars,This book is exactly what it claims . It is approach to almost any kind of machine learning problem . The book has a very practical approach towards problem solving and has tones of code .  The book is intended to people who knows a bit of background and struggles to start problem solving .  The book was and is very helpful for me in day to day life and hence the 5 stars .I want to be clear in the review so that people dont get disappointed after buying the book or refrain from buying the book seeing few negative reviews .The book is  immensely helpful for senior professionals like me who are from other branches of software engineering /domain knowledge and still wants to reduce the entry level barrier to get into machine learning and deep learningThe book is immensely helpful for students from programming/non-programming background looking to learn and solve AI/ML problems and are scared to venture into it .The book is immensely helpful for people with a lot of theoretical knowledge but less programming knowledge to apply the same into some cool project .The book is not helpful for people who has a masters in mathematics and looking for reference in writing phd thesis in Machine Learning methods .
,5.0 out of 5 stars,"Amazingly written in approaching any machine learning problem. I have seen and read lot of books which talks about all the algorithms (from mathematical to intuition point of view), but no one gave me a clear view on how we can approach any dataset and build good models from the data.  The flow of chapters are perfect and in the end you will learn a lot on building the ML models. I think it is a must book like how Tibshirani and Trevor's book (Introduction to Statistical Learning) is must for every beginner to pro. Thanks to Abhishek for writing this gem of a book. Looking forward for more of his works in the future on Deep learning & NLP."
,5.0 out of 5 stars,"Bought this book yesterday. Already few pages into the book. Absolutely loving it so far. It's different than other books in the sense that it will be very helpful for budding machine learning enginners. This book helps you create a strong base of most the algorithms and shows how to code them on python. It doesn't have complicated equations of the algorithms, not that you don't need to know them, this book will create a great base for you to understand those complex equations and will clear your concepts on these algorithms. It also helps in understanding the implementation of different algorithms."
,5.0 out of 5 stars,"I've used the online copy of this book when going through the Math for ML specialisation in Coursera. It's pretty comprehensive in handling the core areas of Math required for ML. I'd also recommend it as a quick refresher in Math if you're preparing for ML/DS interviews. Had to get the physical copy, because it's much easier to navigate, and unlike other tech books this one is not to be obsolete anytime soon."
,2.0 out of 5 stars,"Given the price of the book, was expecting better paper quality and also colored diagrams. The diagrams are in black ink."
,5.0 out of 5 stars,Excellent material
,5.0 out of 5 stars,Recommend
,5.0 out of 5 stars,One and Only best book for mathematics needed to learn and understand the ML.The book summarizes all the topics needed. Really helpful
,2.0 out of 5 stars,"I find it strange there are so many positive reviews for this book. Some of the reviewers have only this review to their name, which I always find dodgy. The presentation is turgid, dull and unclear. Not a pedagogical masterpiece by any means - neither fish nor fowl, the terse (as described by the authors themselves) mathematical syntax serves only to obfuscate, without being mathematical rigorous.I've made several attempts to read this (and I know much of the material already) but trying to decipher the unnecessarily quasi-mathematical notation that makes simple concepts unclear got too wearying. I've ordered Aggarwal's ""Linear Algebra and Optimization for Machine Learning"". I hope that's better."
,3.0 out of 5 stars,"While the content of the book is very clear and concise (something many maths books tend to struggle with), this text unfortunately falls into the trap of presenting many new ideas with too few exercises to reinforce them (at least in the maths section). This would be fine if the authors' aim was to produce a reference for these topics, but they themselves acknowledge the intended target audience to be ""undergraduate students, evening learners and learners participating in online machine learning courses"" i.e. those who are being introduced to the subject matter for the first time and who will quickly forget these ideas after having struggled through the terse, potentially unfamiliar, language."
,5.0 out of 5 stars,"I have just received this book hours ago. It is paperback.  I breezed through book with skimreading at first. Simple illustrations with few colours — VERY HELPFUL. The page layout is perfect, very easy on my eyes! I could read quickly, as the text is not too cluttered. I have learned maths fast. Thank you, authors.Moreover, I absolutely love the 4cm margins at the outer edges of pages, as I like pencilling my notes in blank spaces or place sticky notes there. Helpful footnotes in the margins."
,5.0 out of 5 stars,It's a very good (and maybe only) resource for someone who's starting on the field of machine learning and is trying to understand the underlying mathematics.
,5.0 out of 5 stars,If you want to start Tensorflow then this best book. Actually this is same as Coursera Tensorflow developer Specialization course. I will highly recommend for Tensorflow introduction
,5.0 out of 5 stars,I love the practical nature and code first approach of the book. Concepts are explained enough for us to be able to understand their importance and use. I highly recommend this as the book to start learning Tensorflow with.
,5.0 out of 5 stars,It follows a code first approach. Though the concepts are explained decently to provide working knowledge it doesn't have the mathematical explanations. Code is well structured and explained in detail. Very good guide to get started with coding in tensorflow. The best part I liked was the Hyperparameter tuning with keras tuner being explained very well.
,5.0 out of 5 stars,Really helpful
,5.0 out of 5 stars,This book will make you fall in love with reading again. Easy and must book for beginners as well as professional go for it .
,5.0 out of 5 stars,"If you like to learn new frameworks or technologies by tinkering with practical examples, this book is excellent.  It provides great coverage of data preparation and the creation, training, testing, and evaluation of models for computer vision, natural language, and time series data using Tensorflow and the Keras Sequential API."
,3.0 out of 5 stars,"El contenido del libro es muy bueno para iniciarse en deep learning, pero no hay algún indicador de que el libro es escala de grises y no a color"
,4.0 out of 5 stars,"Doesn't get bogged down on minutiae but the examples are limited. You need to expand your experience gained from this book, and code other examples yourself. Very good template though"
,5.0 out of 5 stars,"Also check out the author GITHUB, some code has been already/fixed/improved in there."
,5.0 out of 5 stars,"Tonight, I completed reading of Laurence Moroney’s book “AI and Machine Learning for Coders”. I enjoyed this book from cover to cover, and I am especially thankful for a few things.First, this book did a great job of explaining how tensorflow can be used to solve different types of problems, such as computer vision, natural language processing, and time series forecasting. It even went into text generation, which got my creativity going.Second, this book is written for coders, but it does explain how neural networks work at a high level. It doesn’t drop a wall of math on the reader, which I appreciated. I feel much more comfortable now, after reading this.And finally, the book ends by discussing interpretability, bias/fairness, and Google’s AI principles. I found that to be a beautiful ending.I give this five stars. The few issues I had were trivial. This book is outstanding. I’m so much better off for having read it."
,4.0 out of 5 stars,Good book but still not study.
,5.0 out of 5 stars,"I have read theoretical books on AI/ML; they do explain concepts but do not make you get started hands-on. This book does that. It has a few foundational chapters to cover the basics and then applies them either in R or Python. Note that you cannot be too naive in maths or understanding program flows if you intend to work in the area of AI/ML. Hence, it is good to have supplementary books on maths (basic statistics, matrix and probability) and general programming to quickly refer back. When I bought the book, thought that it is good to know two languages as well; but while reading it, felt a bit uncomfortable while switching from one example in one language to the other in another language; however, examples themselves are self-sufficient and comprehensible."
,5.0 out of 5 stars,Awesome Book For Who Want's To Learn Machine Learning From Basics
,4.0 out of 5 stars,This book is perfect for newbies and for people with some knowledge about ML.It covers from basic to advanced topics. Plus the explanation is decent.
,4.0 out of 5 stars,Good for beginners and those who want to refresh their knowledge.
,5.0 out of 5 stars,Detailed book on r and python programming. Meant for rookkee like me.
,5.0 out of 5 stars,Very helpful and nice book to learn a lot about AI and ML
,1.0 out of 5 stars,Half of the book is just wastage of time.. returned it on 3rd day... not informational at all
,5.0 out of 5 stars,good
,5.0 out of 5 stars,Excellent book
,5.0 out of 5 stars,ok
,5.0 out of 5 stars,"Being a ML practitioner and trainer, always wanted a single book to cover all nuances of machine learning. Found this while checked for new titles and this book is a very good read. Was able to finish the contents in 3 days(10 chapters) and the authors have done an excellent job to teach ML through this book. Highly recommended for beginners and new comers to machine learning."
,1.0 out of 5 stars,I am returning the book as it is not a printed book but a Xerox copy one. Even the back cover is not printed (copied) properly. Figures have Xerox marks.
,4.0 out of 5 stars,"Ya it's a nice text book and some of the concepts are implemented  using R tool.This book explains the regression concepts very nicelyBut this book never explains the genetic programming, locally weighted regression,EM algorithm and Q learning etc"
,5.0 out of 5 stars,Very helpful book for any fresh Data Scientist or to be Data Scientist! It works as a novel and is quite interesting. I definitely recommend this book to all interested in the field.
,5.0 out of 5 stars,The content is very good and simplified. Great book for beginners and intermediates in Machine Learning.
,1.0 out of 5 stars,Not so good. Topics are discussed in very Boring manure. Waste of money
,4.0 out of 5 stars,Regrading Content of book:Book is really good for beginers to understand Machine Learning.Quality of Material:Paper quality is not good
,5.0 out of 5 stars,I found language and content quite good as a beginner in machine learning. Could understand concepts really well
,5.0 out of 5 stars,Every topic is defined with introductory part and then elaborated with good explanations and I think money is worth spending. Five stars just for book.I didn't get the bill with it.
,5.0 out of 5 stars,Excellent book for Machine Learning.Quality of book is really good
,4.0 out of 5 stars,"Nice Book. Exactly this is what you require to get you started on machine learning. Even after reading multiple theory books and watching Andrew's machine learning videos for nearly one year, I was not knowing how to actually put my knowledge into practice. After reading this book only, I was able to create ML models on my own and got a bit more comfortable in ML area. Trust me you don't need a masters to read and understand this book, but a bit of python knowledge helps."
,3.0 out of 5 stars,"The cover of the book, as shown in Amazon.in is different from the actual book cover.  What you will get is a grayscale edition of the original book which looks even worse than photocopy and the copy is only intended for sale in the Indian subcontinent.Nevertheless the book is a pretty good resourse for anyone who wants a head start in the field of ML with Python.  Pair it up with a good online course and you are good to go.Best of luck !"
,4.0 out of 5 stars,I bought it for self study and this book is good for beginners ...Examples are easy and language is simple .However this book alone might not be enough - and my personal opinion is to use it in conjunction with some online or classroom course .
,4.0 out of 5 stars,"USEFULNESS:The book is very useful for beginners.Instructions are pretty clear.If you are intermediate+ or advanced programmer, not for you.PYTHON VERSION:It uses Python 3 as programming language.THEORY/MATHEMATICAL APPROACH:It does not has mathematics. For theory you have to use other books.VALUE FOR MONEY:I personally think price is bit high. If it was around Rs 800 it would have been more justified!OVERALL:3.5/5"
,1.0 out of 5 stars,The website should clearly mention that it is a grayscale edition. I could have printed the book from a shop if it is a grayscale edition that is being offered. ( could have printed it for Rs 400-500 instead of paying 1200 bucks )
,1.0 out of 5 stars,"Difficult to understand the concepts. I don't recommend this book to anyone, especially not for beginners.  Waste of money and time."
,5.0 out of 5 stars,This is one of the best value for money books for new ML practitioners. A color version would be highly desirable for a keen reader.
,3.0 out of 5 stars,Print quality is very poorContent is very goodBook is very good
,5.0 out of 5 stars,Received the product well in time
,4.0 out of 5 stars,It is okay
,5.0 out of 5 stars,"The book organizes the theoretical and practical aspects of various ML techniques in very simple way which is great for a beginner. While this is not sufficient for anybody expecting to master the science, it's a great start to look further. The terminologies and basic concepts helps to set a direction to pursue for deeper learning. It also has good references for people looking to gain more expertise."
,5.0 out of 5 stars,"If you’re looking for a guide which explains you the complex machine learning concepts in a detailed and easy-to-grasp manner, this book should be your starting point. I’d recommend this book to everyone - from a beginner in the field to anyone who’d want to get a detailed understanding of ML principles."
,4.0 out of 5 stars,"The world is now behind Machine Learning, to ease up and provide better facility and thereby improving the capabilities on our the day to day actions. This is a good place to start the journey into this new world. I would say understanding ML is a must as it is invading every nook and corner of the streams available in our realm. So start your journey and for that this is a good Starter."
,3.0 out of 5 stars,Too basic to cover such a vast topic.
,4.0 out of 5 stars,"It's an simplified introduction to machine learning for beginners, it gives you fair idea of what , why and how of machine learning  and ends with a practical example in python"
,4.0 out of 5 stars,"Good intro to machine learning. Can recommend as a good intro book to others, especially students. Good job overall. Well done."
,1.0 out of 5 stars,Just gives summary in difficult terms to understand.
,1.0 out of 5 stars,There's absolutely nothing in this book which you can not found on the first page of google search.
,4.0 out of 5 stars,Good book which gives the basic idea  about machine learning
,4.0 out of 5 stars,Best book for a start.
,5.0 out of 5 stars,Good and easy language
,5.0 out of 5 stars,"Keeping it honest, so far been through first three chapters and yeah grasping the knowledge is too smooth as the concepts are explained in a lucid manner. Definitely, way to go!"
,5.0 out of 5 stars,The book has been written such that it does not add any pressure on the brain. The language used is such that a 10th standard student can easily understand. Very comprehensive and binding book.
,5.0 out of 5 stars,Very easy to understand as things are explained with example. Students from no-tech background will also be able to grab this book. This is hands down the best book on getting upto speed and getting completely acquainted to most of the ML programming needs for early learners.
,5.0 out of 5 stars,I found the book to be relatively easy to understand and grasp as compared to some of it's counterparts. Very well written!
,5.0 out of 5 stars,"This book gives a very good understanding on the concepts required for Augmented reality, including the math behind it, graphics and the associated code wherever possible. Some good use cases explained giving an idea as to how some of the AR applications are built and how to achieve the targeted solution."
,5.0 out of 5 stars,"The concepts are explained really well. For someone who wants to get into the AR domain, this book would certainly be a good place to start with. The author certainly has put in a lot of efforts to explain the topics at a very detailed and in an easily understandable way."
,5.0 out of 5 stars,"A good book covering various aspects of AR-VR. As a beginner, I find it easier to understand. Eager to learn more in depth as chapter progresses. The real-world examples along with the theoretical concepts makes it more easier to correlate and understand."
,5.0 out of 5 stars,The Book is good for readers who are knowledgeable in AR and also those who are new to the Subject. Topics covered in detail with examples and the usage of graphics has made it easy to visualise. Useful for developers wanting to build AR Apps.
,5.0 out of 5 stars,"Being a mobile application developer I always wanted to understand AR  in detail , this book explains things in a very simple language .It has good contents . I would recommend this book for people who like to understand  AR and take it to next level."
,4.0 out of 5 stars,"This book is lucid and crisp, its a one-in-all package for conceptual ideas in AR. The images and snapshots provide the readers with whole another level of depth! Value for every dime spent"
,5.0 out of 5 stars,This clearly a good toolkit for AR. It's very clearly explained. I recommend this book for mobile developers to integrate AR in the mobiles.
,5.0 out of 5 stars,"As someone who is new to the world ofAugmented Reality, I found the concepts and techniques explained in a clear yet simple method.The practical use cases in th book make it easier to understand."
,5.0 out of 5 stars,"Very good book for Augmented Reality enthusiasts.Covers all aspects of Augmented Reality. Basics, foundation concepts, trends, programming and all other aspects. It's a mix of theory and Practical"
,5.0 out of 5 stars,Excellent content!!! Covers a wide range topics which makes it suitable for beginners as well as the advanced ones. Definitely the best choice for understanding AR in depth.
,5.0 out of 5 stars,"Awesome Book. This should really be the First book you read on Machine Learning. The Probabilistic Approach and Heavy Math might tire you at first but if you stay on with the materials and after few revisions, all Algorithms that are prominently used in the Industry today start to make sense readily. Understanding the Math and associating the tuning parameters to the Math allows you to better tune your models."
,2.0 out of 5 stars,This is a very bad textbook. Organization of content is very illogical. There are better books out there.
,5.0 out of 5 stars,Awesome content
,5.0 out of 5 stars,This book will always be in my shelf. This might not be the most organized book in machine learning but man this book has stuff. Along with convex optimisation and linear algebra this book gave me enough exposure to machine learning topics that I cleared research position in ml at good companies without sweat. This book is everything PRML by bishop is and more but with slightly hard to read organisation.
